date,threshold_count,snapshot_count,realized_terminal,mean_abs_error_vs_terminal,last_abs_error_vs_terminal,mean_realized_bucket_probability,last_realized_bucket_probability,last_expected_terminal,last_modal_interval,first_snapshot_ts,last_snapshot_ts
2026-04-10,11,10,72416.71456276764,472.31523217524955,625.8284460358554,0.5030575638104449,0.9595867017674872,73042.54300880349,"$72,000-$74,000",2026-04-10T07:00:00+00:00,2026-04-10T16:00:00+00:00
2026-04-11,11,23,72789.74511933756,165.25341658779854,120.45268701913301,0.8172613244231116,0.934461062547027,72910.1978063567,"$72,000-$74,000",2026-04-10T18:00:00+00:00,2026-04-11T16:00:00+00:00
2026-04-12,11,15,70904.84604333997,1042.3978505227337,685.0130993199709,0.6467275542834642,0.8014602470662737,71589.85914265995,"$70,000-$72,000",2026-04-12T02:00:00+00:00,2026-04-12T16:00:00+00:00
2026-04-13,11,15,71862.77335070871,861.0029933812028,643.6086387498217,0.6871516446582283,0.8670074871066767,71219.16471195889,"$70,000-$72,000",2026-04-13T02:00:00+00:00,2026-04-13T16:00:00+00:00
2026-04-14,11,8,75395.3924398678,788.975610216381,370.4212456055102,0.7411351186933708,0.9349223034393706,75024.9711942623,"$74,000-$76,000",2026-04-14T09:00:00+00:00,2026-04-14T16:00:00+00:00
2026-04-15,11,15,73820.14400449459,334.70572638354787,280.1529207972053,0.4178986750952741,0.4607137351571132,74100.2969252918,"$74,000-$76,000",2026-04-15T02:00:00+00:00,2026-04-15T16:00:00+00:00
2026-04-16,11,19,74740.25080601992,226.72109882070953,823.4853839090647,0.5608489937817218,0.36734414966536827,73916.76542211085,"$72,000-$74,000",2026-04-15T22:00:00+00:00,2026-04-16T16:00:00+00:00
2026-04-17,11,15,77828.185699857,2496.359445522908,59.92779175726173,0.27271550441287534,0.5319257645132909,77888.11349161426,"$76,000-$78,000",2026-04-17T02:00:00+00:00,2026-04-17T16:00:00+00:00
