city,date,ts,time,expected_high_f,abs_error_f,actual_bucket_probability,modal_bucket,modal_probability,actual_inside_modal,raw_probability_sum
nyc,2026-03-01,1772294400,2026-02-28T16:00:00Z,39.851219512195115,3.148780487804885,0.15121951219512192,40-41F,0.3219512195121951,False,1.0250000000000001
nyc,2026-03-01,1772298000,2026-02-28T17:00:00Z,40.049065420560744,2.950934579439256,0.14953271028037382,38-39F,0.3177570093457944,False,1.07
nyc,2026-03-01,1772301600,2026-02-28T18:00:00Z,39.965437788018434,3.034562211981566,0.16589861751152074,40-41F,0.31797235023041476,False,1.085
nyc,2026-03-01,1772305200,2026-02-28T19:00:00Z,39.890186915887845,3.1098130841121545,0.1588785046728972,40-41F,0.3037383177570093,False,1.07
nyc,2026-03-01,1772308800,2026-02-28T20:00:00Z,40.31192660550459,2.6880733944954116,0.19724770642201836,40-41F,0.2706422018348624,False,1.09
nyc,2026-03-01,1772312400,2026-02-28T21:00:00Z,40.481220657277,2.5187793427230005,0.1971830985915493,40-41F,0.2863849765258216,False,1.065
nyc,2026-03-01,1772316000,2026-02-28T22:00:00Z,40.78712871287129,2.2128712871287135,0.20792079207920794,40-41F,0.32673267326732675,False,1.01
nyc,2026-03-01,1772319600,2026-02-28T23:00:00Z,40.5525,2.447499999999998,0.21000000000000002,40-41F,0.33999999999999997,False,1.0
nyc,2026-03-01,1772323200,2026-03-01T00:00:00Z,40.4475,2.552500000000002,0.22,40-41F,0.33499999999999996,False,1.0
nyc,2026-03-01,1772326800,2026-03-01T01:00:00Z,40.48514851485149,2.5148514851485118,0.2128712871287129,40-41F,0.35148514851485146,False,1.01
nyc,2026-03-01,1772330400,2026-03-01T02:00:00Z,40.26600985221675,2.7339901477832527,0.2019704433497537,40-41F,0.3793103448275862,False,1.0150000000000001
nyc,2026-03-01,1772334000,2026-03-01T03:00:00Z,41.16752577319588,1.8324742268041234,0.30412371134020616,40-41F,0.44329896907216493,False,0.97
nyc,2026-03-01,1772337600,2026-03-01T04:00:00Z,41.756218905472636,1.243781094527364,0.5223880597014925,42-43F,0.5223880597014925,True,1.0050000000000001
nyc,2026-03-01,1772341200,2026-03-01T05:00:00Z,42.751207729468604,0.2487922705313963,0.8357487922705314,42-43F,0.8357487922705314,True,1.035
nyc,2026-03-01,1772344800,2026-03-01T06:00:00Z,43.08333333333333,0.0833333333333286,0.7135416666666666,42-43F,0.7135416666666666,True,0.9600000000000001
nyc,2026-03-01,1772348400,2026-03-01T07:00:00Z,43.07,0.07000000000000028,0.705,42-43F,0.705,True,1.0
nyc,2026-03-01,1772352000,2026-03-01T08:00:00Z,42.86363636363637,0.13636363636363313,0.7929292929292929,42-43F,0.7929292929292929,True,0.99
nyc,2026-03-01,1772355600,2026-03-01T09:00:00Z,42.992537313432834,0.007462686567166088,0.7661691542288557,42-43F,0.7661691542288557,True,1.0050000000000001
nyc,2026-03-01,1772359200,2026-03-01T10:00:00Z,42.9665071770335,0.033492822966501024,0.7607655502392344,42-43F,0.7607655502392344,True,1.045
nyc,2026-03-01,1772362800,2026-03-01T11:00:00Z,43.11374407582939,0.11374407582938773,0.7298578199052134,42-43F,0.7298578199052134,True,1.055
nyc,2026-03-01,1772366400,2026-03-01T12:00:00Z,42.83649289099526,0.16350710900474041,0.8009478672985783,42-43F,0.8009478672985783,True,1.055
nyc,2026-03-01,1772370000,2026-03-01T13:00:00Z,42.80582524271844,0.19417475728155864,0.8300970873786407,42-43F,0.8300970873786407,True,1.03
nyc,2026-03-01,1772373600,2026-03-01T14:00:00Z,42.77363184079603,0.22636815920397169,0.8308457711442787,42-43F,0.8308457711442787,True,1.005
